Head,Backbone,Epoch,CFCBK,FCBK,Zigzag,Weighted mAP@50,mAP@50:95,mAP@50,mAP@75,CA mAP@50:95,CA mAP@50,CA mAP@75,Precision,Recall,F1
ROI Transformer,swin_tiny,1,0.003999,0.039197,0.039525,0.008042,0.005604,0.027573,0.000060,0.009856,0.047651,0.000323,0.182629,0.136725,0.154876
ROI Transformer,swin_tiny,2,0.063142,0.208391,0.186422,0.078364,0.038289,0.152652,0.006917,0.060710,0.221187,0.008550,0.307146,0.386007,0.339034
ROI Transformer,swin_tiny,3,0.041877,0.151053,0.143229,0.053863,0.031218,0.112053,0.006166,0.055153,0.167838,0.021206,0.413744,0.260911,0.318851
ROI Transformer,swin_tiny,4,0.174343,0.325519,0.327708,0.191757,0.077943,0.275857,0.016157,0.102623,0.337222,0.022322,0.395753,0.532829,0.451867
ROI Transformer,swin_tiny,5,0.270279,0.389255,0.403976,0.284798,0.106770,0.354503,0.027829,0.138815,0.429453,0.037628,0.391635,0.613180,0.477076
ROI Transformer,swin_tiny,6,0.218336,0.334822,0.343657,0.232202,0.089281,0.298938,0.023061,0.117135,0.349872,0.043264,0.393806,0.538572,0.452993
ROI Transformer,swin_tiny,7,0.228731,0.422886,0.401604,0.249585,0.113020,0.351074,0.032881,0.172189,0.493818,0.065681,0.442885,0.618348,0.509496
ROI Transformer,swin_tiny,8,0.345115,0.446467,0.455538,0.357266,0.134366,0.415706,0.038609,0.183600,0.522929,0.068112,0.466721,0.642515,0.537953
ROI Transformer,swin_tiny,9,0.337407,0.486746,0.515493,0.356276,0.154164,0.446549,0.059976,0.208536,0.546765,0.101130,0.461707,0.698220,0.555088
ROI Transformer,swin_tiny,10,0.311798,0.484429,0.511818,0.333243,0.149238,0.436015,0.055859,0.201576,0.543193,0.085896,0.435448,0.707360,0.538604
ROI Transformer,swin_tiny,11,0.294143,0.505064,0.523182,0.319383,0.156014,0.440796,0.065505,0.206022,0.546594,0.093106,0.436242,0.713342,0.541251
ROI Transformer,swin_tiny,12,0.274126,0.508996,0.520735,0.301703,0.154250,0.434619,0.062914,0.207639,0.547742,0.094176,0.449388,0.713821,0.551388
ROI Transformer,swin_tiny,13,0.309738,0.506418,0.527775,0.333554,0.159599,0.447977,0.067005,0.213830,0.563710,0.097323,0.453477,0.712242,0.553914
ROI Transformer,swin_tiny,14,0.288083,0.510347,0.529477,0.314683,0.158290,0.442635,0.064216,0.215141,0.565553,0.099998,0.455656,0.713582,0.556000
ROI Transformer,swin_tiny,15,0.287067,0.508797,0.535402,0.314075,0.160893,0.443756,0.070346,0.217635,0.570345,0.103423,0.457741,0.713964,0.557672
ROI Transformer,swin_tiny,16,0.289531,0.508986,0.534949,0.316238,0.163123,0.444489,0.074027,0.222790,0.571384,0.114439,0.459824,0.716357,0.559937
ROI Transformer,swin_tiny,17,0.325377,0.506376,0.531856,0.347659,0.162329,0.454536,0.071561,0.220814,0.571862,0.111299,0.456486,0.714491,0.556821
ROI Transformer,swin_tiny,18,0.315965,0.510001,0.534185,0.339656,0.167699,0.453384,0.076261,0.223410,0.571668,0.116191,0.460171,0.716118,0.560070
ROI Transformer,swin_tiny,19,0.335715,0.507062,0.524649,0.356399,0.164957,0.455808,0.072024,0.221622,0.568911,0.112773,0.457498,0.714634,0.557676
ROI Transformer,swin_tiny,20,0.324181,0.507641,0.531375,0.346635,0.162148,0.454399,0.065271,0.212569,0.555873,0.101244,0.450546,0.717458,0.553340
ROI Transformer,swin_tiny,21,0.340921,0.509123,0.533301,0.361659,0.166387,0.461115,0.073324,0.223161,0.568046,0.114903,0.457276,0.719037,0.558888
ROI Transformer,swin_tiny,22,0.336855,0.505399,0.528049,0.357537,0.164082,0.456768,0.075018,0.218898,0.565556,0.109477,0.453271,0.715879,0.554932
ROI Transformer,swin_tiny,23,0.322468,0.497876,0.536180,0.344915,0.164755,0.452175,0.075553,0.221628,0.570950,0.117645,0.461419,0.717506,0.561565
ROI Transformer,swin_tiny,24,0.336298,0.502926,0.526174,0.356798,0.163083,0.455133,0.072257,0.219764,0.566219,0.112801,0.465573,0.710375,0.562296
ROI Transformer,swin_tiny,25,0.329056,0.501747,0.528542,0.350471,0.167113,0.453115,0.069677,0.217341,0.562569,0.102410,0.461195,0.710854,0.559281
