Head,Backbone,Epoch,CFCBK,FCBK,Zigzag,Weighted mAP@50,mAP@50:95,mAP@50,mAP@75,CA mAP@50:95,CA mAP@50,CA mAP@75,Precision,Recall,F1
S2A Net,resnet50,8,0.177302,0.235043,0.232973,0.183771,0.051845,0.215106,0.004905,0.094200,0.388882,0.010766,0.238845,0.415438,0.290551
S2A Net,resnet50,9,0.258537,0.247303,0.304570,0.260843,0.074272,0.270137,0.014295,0.119268,0.428366,0.025241,0.212038,0.452575,0.286045
S2A Net,resnet50,10,0.260845,0.251993,0.301619,0.262945,0.071796,0.271486,0.013926,0.117119,0.428446,0.025845,0.217959,0.455972,0.291334
S2A Net,resnet50,11,0.258142,0.260643,0.294369,0.260543,0.073322,0.271051,0.014241,0.120530,0.436412,0.026319,0.229984,0.457360,0.300158
S2A Net,resnet50,12,0.268186,0.259090,0.311995,0.270463,0.076549,0.279757,0.014848,0.122888,0.439185,0.027970,0.228051,0.461428,0.301906
S2A Net,resnet50,13,0.269958,0.250874,0.316774,0.271909,0.076613,0.279202,0.014514,0.122016,0.437119,0.027520,0.227345,0.459179,0.301886
S2A Net,resnet50,14,0.268887,0.253709,0.316664,0.271099,0.076033,0.279753,0.014463,0.121128,0.436313,0.027189,0.226869,0.460088,0.301473
S2A Net,resnet50,15,0.269573,0.249994,0.317560,0.271571,0.076705,0.279042,0.014224,0.121256,0.435832,0.026402,0.229402,0.458940,0.303598
S2A Net,resnet50,16,0.269694,0.259065,0.320096,0.272306,0.078039,0.282952,0.015038,0.124028,0.441849,0.028234,0.227216,0.463917,0.302074
S2A Net,resnet50,17,0.268655,0.253521,0.316004,0.270843,0.076922,0.279393,0.014830,0.121239,0.435890,0.026531,0.225597,0.460088,0.300187
S2A Net,resnet50,18,0.275716,0.256340,0.318610,0.277405,0.077794,0.283555,0.014999,0.122791,0.439323,0.027724,0.230371,0.462194,0.304658
S2A Net,resnet50,19,0.269481,0.256428,0.315625,0.271700,0.076912,0.280511,0.014867,0.121672,0.437246,0.026632,0.227506,0.460232,0.301797
S2A Net,resnet50,20,0.272132,0.257487,0.319425,0.274341,0.078222,0.283015,0.015388,0.123712,0.441418,0.028157,0.229264,0.463342,0.304250
S2A Net,resnet50,21,0.272878,0.259444,0.317686,0.274994,0.078131,0.283336,0.015466,0.123506,0.440551,0.028266,0.229033,0.463964,0.303586
S2A Net,resnet50,22,0.271828,0.254266,0.318516,0.273849,0.078033,0.281536,0.015158,0.122514,0.437957,0.027709,0.228005,0.461284,0.302684
S2A Net,resnet50,23,0.275604,0.252808,0.322530,0.277369,0.078642,0.283647,0.015058,0.123585,0.439751,0.027821,0.225567,0.462337,0.301057
S2A Net,resnet50,24,0.269154,0.256344,0.312717,0.271224,0.077111,0.279405,0.014857,0.121871,0.436867,0.027302,0.230532,0.461141,0.304140
S2A Net,resnet50,25,0.268283,0.258630,0.313076,0.270593,0.076894,0.279996,0.014335,0.121946,0.437654,0.027395,0.229504,0.463247,0.303506
