Head,Backbone,Epoch,CFCBK,FCBK,Zigzag,Weighted mAP@50,mAP@50:95,mAP@50,mAP@75,CA mAP@50:95,CA mAP@50,CA mAP@75,Precision,Recall,F1
R3Det,swin_tiny,6,0.064294,0.169824,0.177016,0.076933,0.032802,0.137045,0.003035,0.073438,0.295385,0.008719,0.159051,0.363200,0.220556
R3Det,swin_tiny,7,0.105322,0.238932,0.201078,0.118218,0.045391,0.181777,0.004970,0.099077,0.384161,0.012598,0.175710,0.399072,0.234377
R3Det,swin_tiny,8,0.119568,0.222838,0.197838,0.129803,0.043952,0.180081,0.007376,0.085504,0.348944,0.009927,0.168287,0.398258,0.230695
R3Det,swin_tiny,9,0.141751,0.228309,0.275953,0.154630,0.057034,0.215337,0.010661,0.110102,0.408664,0.017079,0.181411,0.428455,0.253962
R3Det,swin_tiny,10,0.160353,0.240829,0.268957,0.171313,0.060375,0.223379,0.011766,0.113407,0.413045,0.019173,0.187791,0.431997,0.260072
R3Det,swin_tiny,11,0.169401,0.241581,0.261430,0.178894,0.059019,0.224137,0.007854,0.112233,0.410747,0.017789,0.183691,0.430944,0.254054
R3Det,swin_tiny,12,0.171081,0.245100,0.270736,0.181147,0.061249,0.228972,0.008022,0.115598,0.420471,0.018048,0.182321,0.435634,0.255006
R3Det,swin_tiny,13,0.172142,0.245411,0.268886,0.181987,0.060516,0.228813,0.007803,0.114679,0.419491,0.018152,0.182328,0.433193,0.254329
R3Det,swin_tiny,14,0.173550,0.240654,0.269642,0.183036,0.060409,0.227948,0.007969,0.113965,0.415379,0.017940,0.181988,0.431709,0.253931
R3Det,swin_tiny,15,0.174334,0.245555,0.271486,0.184099,0.061535,0.230458,0.008247,0.115980,0.420305,0.019058,0.183882,0.435634,0.256424
R3Det,swin_tiny,16,0.176257,0.242722,0.271206,0.185639,0.061110,0.230062,0.007828,0.115078,0.419615,0.017738,0.183040,0.434533,0.255700
R3Det,swin_tiny,17,0.177087,0.245145,0.265478,0.186139,0.061191,0.229236,0.008105,0.115335,0.418664,0.017911,0.183164,0.433959,0.255126
R3Det,swin_tiny,18,0.178751,0.244762,0.269496,0.187846,0.061105,0.231003,0.008105,0.115539,0.419181,0.018629,0.183284,0.434246,0.255561
R3Det,swin_tiny,19,0.183310,0.245679,0.272055,0.192091,0.062334,0.233681,0.008897,0.116897,0.422349,0.019961,0.184264,0.436351,0.256827
R3Det,swin_tiny,20,0.175574,0.243930,0.274376,0.185295,0.062317,0.231293,0.011891,0.115371,0.420673,0.018698,0.181882,0.436160,0.254919
R3Det,swin_tiny,21,0.184903,0.244469,0.277470,0.193779,0.062301,0.235614,0.008861,0.116613,0.423411,0.019596,0.183940,0.437883,0.257226
R3Det,swin_tiny,22,0.178639,0.240342,0.275441,0.187891,0.060815,0.231474,0.008195,0.113685,0.419313,0.018580,0.183365,0.435634,0.256591
R3Det,swin_tiny,23,0.179378,0.243079,0.276980,0.188783,0.061766,0.233146,0.008387,0.116651,0.422938,0.019510,0.185410,0.436543,0.258378
