Head,Backbone,Epoch,CFCBK,FCBK,Zigzag,Weighted mAP@50,mAP@50:95,mAP@50,mAP@75,CA mAP@50:95,CA mAP@50,CA mAP@75
Rotated RetinaNet,resnet50,1,0.000000,0.000866,0.002434,0.001525,0.000153,0.001100,0.000000,0.000395,0.002812,0.000000
Rotated RetinaNet,resnet50,2,0.000310,0.021375,0.039152,0.028500,0.003494,0.020279,0.000057,0.003627,0.019714,0.000124
Rotated RetinaNet,resnet50,3,0.001235,0.032614,0.071638,0.048714,0.006654,0.035163,0.000212,0.002523,0.012891,0.000110
Rotated RetinaNet,resnet50,4,0.002397,0.057435,0.095313,0.072301,0.009652,0.051715,0.000245,0.004268,0.021557,0.000207
Rotated RetinaNet,resnet50,5,0.005866,0.032071,0.059277,0.043161,0.005686,0.032405,0.000123,0.002704,0.014256,0.000148
Rotated RetinaNet,resnet50,6,0.054523,0.046710,0.106764,0.073222,0.014267,0.069332,0.000421,0.003200,0.017172,0.000168
Rotated RetinaNet,resnet50,7,0.122347,0.068560,0.126866,0.095732,0.023149,0.105925,0.001975,0.004995,0.024997,0.000254
Rotated RetinaNet,resnet50,8,0.128967,0.067702,0.111035,0.088555,0.021413,0.102568,0.001659,0.004000,0.020743,0.000194
Rotated RetinaNet,resnet50,9,0.203014,0.083499,0.169273,0.124721,0.035538,0.151929,0.003995,0.006524,0.030973,0.000499
Rotated RetinaNet,resnet50,10,0.214741,0.089231,0.181049,0.133283,0.037391,0.161673,0.003694,0.007473,0.035477,0.000630
Rotated RetinaNet,resnet50,11,0.215539,0.091929,0.188711,0.138094,0.039198,0.165393,0.003683,0.007471,0.034418,0.000640
Rotated RetinaNet,resnet50,12,0.211746,0.089380,0.180239,0.132915,0.037921,0.160455,0.003540,0.007879,0.036944,0.000588
Rotated RetinaNet,resnet50,13,0.210858,0.086364,0.175349,0.129145,0.036918,0.157524,0.003549,0.007504,0.035606,0.000572
Rotated RetinaNet,resnet50,14,0.215228,0.088359,0.176505,0.130847,0.037358,0.160031,0.003342,0.007783,0.036414,0.000602
Rotated RetinaNet,resnet50,15,0.216942,0.087184,0.176153,0.130121,0.037490,0.160093,0.003087,0.007624,0.036103,0.000583
Rotated RetinaNet,resnet50,16,0.217275,0.089600,0.178361,0.132382,0.037981,0.161746,0.003769,0.007875,0.036992,0.000728
Rotated RetinaNet,resnet50,17,0.208992,0.089006,0.178823,0.132012,0.037500,0.158940,0.003253,0.008317,0.039170,0.000632
Rotated RetinaNet,resnet50,18,0.215962,0.088399,0.178414,0.131726,0.037236,0.160925,0.003000,0.008172,0.038695,0.000619
Rotated RetinaNet,resnet50,19,0.214041,0.087736,0.178246,0.131240,0.037854,0.160008,0.003306,0.007872,0.036572,0.000628
Rotated RetinaNet,resnet50,20,0.217199,0.090351,0.180685,0.133795,0.037785,0.162745,0.003310,0.008119,0.038372,0.000570
Rotated RetinaNet,resnet50,21,0.216078,0.087736,0.178724,0.131512,0.037729,0.160846,0.003248,0.007983,0.037187,0.000596
Rotated RetinaNet,resnet50,22,0.210624,0.083999,0.171155,0.126046,0.036196,0.155259,0.003362,0.007692,0.036600,0.000589
Rotated RetinaNet,resnet50,23,0.213411,0.088494,0.178574,0.131768,0.037869,0.160160,0.003196,0.008037,0.037833,0.000582
Rotated RetinaNet,resnet50,24,0.217481,0.091740,0.181728,0.134999,0.038426,0.163650,0.003368,0.008232,0.038402,0.000624
Rotated RetinaNet,resnet50,25,0.215577,0.088330,0.179410,0.132113,0.037732,0.161105,0.003032,0.008121,0.038315,0.000581
